"573","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.25","0.78","Abrupte","Abrupte","Directa","Directa"
"574","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.21","0.78","Abrupte","Abrupte","Directa","Directa"
"575","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.21","0.97","Abrupte","Abrupte","Directa","Directa"
"578","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.17","0.89","Abrupte","Abrupte","Directa","Directa"
"579","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.22","0.89","Abrupte","Abrupte","Directa","Directa"
"580","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.24","0.76","Abrupte","Abrupte","Directa","Directa"
"582","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.16","0.9","Abrupte","Abrupte","Directa","Directa"
"588","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.22","0.62","Abrupte","Abrupte","Directa","Directa"
"589","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.22","0.87","Abrupte","Semiabrupte","Directa","Directa"
"590","Cueva de la Cocina","","1941","3","Principal","Trapezi","Si","0.2","1.27","Abrupte","Abrupte","Directa","Directa"
"591","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.15","0.87","Abrupte","Abrupte","Directa","Directa"
"592","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.15","0.5","Abrupte","Abrupte","Directa","Directa"
"593","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.13","0.48","Abrupte","Abrupte","Directa","Directa"
"594","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.17","0.52","Abrupte","Abrupte","Directa","Directa"
"595","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.13","0.51","Abrupte","Abrupte","Directa","Directa"
"597","Cueva de la Cocina","","1941","3","Principal","Trapezi","No","0.14","0.73","Abrupte","Abrupte","Directa","Directa"
